Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
OECD members,OED,6.76 lacs,7.27 lacs,7.75 lacs,7.83 lacs,7.61 lacs,7.55 lacs,7.25 lacs,7.22 lacs,7.18 lacs,6.78 lacs,6.62 lacs,7.13 lacs,7.25 lacs,7.14 lacs,6.8 lacs,6.26 lacs,5.77 lacs,6.1 lacs,8.25 lacs,8.42 lacs,8.03 lacs,8.01 lacs,7.92 lacs,7.41 lacs,6.85 lacs,6.43 lacs,5.9 lacs,5.46 lacs,5.4 lacs,7.1 lacs,6.33 lacs
Oman,OMN,4.01 lacs,4.01 lacs,4.07 lacs,4.11 lacs,4.1 lacs,4.13 lacs,4.09 lacs,4.14 lacs,4.18 lacs,4.09 lacs,4.13 lacs,4.2 lacs,4.23 lacs,4.18 lacs,4.18 lacs,4.15 lacs,4.18 lacs,4.14 lacs,4.05 lacs,3.99 lacs,3.87 lacs,3.68 lacs,3.62 lacs,3.54 lacs,3.39 lacs,3.27 lacs,2.57 lacs,1.8 lacs,1.85 lacs,2.94 lacs,3.12 lacs
Other small states,OSS,11.71 lacs,12.3 lacs,13.01 lacs,13.41 lacs,13.86 lacs,14.11 lacs,14.34 lacs,14.06 lacs,13.97 lacs,13.66 lacs,13.69 lacs,13.47 lacs,13.67 lacs,13.3 lacs,12.86 lacs,12.08 lacs,11.42 lacs,10.98 lacs,11.48 lacs,11.6 lacs,11.06 lacs,10.73 lacs,10.87 lacs,10.66 lacs,10.61 lacs,10.61 lacs,10.28 lacs,9.92 lacs,9.79 lacs,11.01 lacs,10.98 lacs
Pakistan,PAK,0.62 lacs,0.66 lacs,0.56 lacs,0.59 lacs,0.6 lacs,0.6 lacs,0.54 lacs,0.56 lacs,0.57 lacs,0.58 lacs,0.56 lacs,0.55 lacs,0.59 lacs,0.61 lacs,0.59 lacs,0.58 lacs,0.4 lacs,0.42 lacs,0.54 lacs,0.65 lacs,0.8 lacs,1.85 lacs,2.95 lacs,1.83 lacs,3.57 lacs,3.78 lacs,3.92 lacs,4.08 lacs,3.54 lacs,4.3 lacs,4.35 lacs
Panama,PAN,3.73 lacs,3.76 lacs,3.8 lacs,3.81 lacs,3.79 lacs,3.78 lacs,3.77 lacs,3.77 lacs,3.82 lacs,3.81 lacs,3.82 lacs,3.79 lacs,3.79 lacs,3.74 lacs,3.75 lacs,3.7 lacs,3.68 lacs,3.74 lacs,3.85 lacs,3.72 lacs,2.38 lacs,2.39 lacs,2.29 lacs,2.71 lacs,2.98 lacs,3.26 lacs,3.86 lacs,3.83 lacs,4.73 lacs,12.85 lacs,12.09 lacs
Peru,PER,4.56 lacs,4.72 lacs,4.5 lacs,4.25 lacs,4.48 lacs,4.72 lacs,4.59 lacs,4.95 lacs,4.9 lacs,4.88 lacs,5.03 lacs,4.84 lacs,4.15 lacs,4.7 lacs,4.88 lacs,4.18 lacs,4.04 lacs,4.04 lacs,3.98 lacs,3.58 lacs,3.48 lacs,3.24 lacs,3.57 lacs,3.21 lacs,3.27 lacs,3.74 lacs,3.69 lacs,3.49 lacs,3.38 lacs,7.18 lacs,4.83 lacs
Philippines,PHL,3.78 lacs,3.75 lacs,3.7 lacs,3.63 lacs,3.63 lacs,3.59 lacs,3.62 lacs,3.81 lacs,3.69 lacs,3.65 lacs,3.7 lacs,3.63 lacs,3.53 lacs,3.55 lacs,3.8 lacs,4.05 lacs,3.43 lacs,3.72 lacs,3.86 lacs,3.61 lacs,3.59 lacs,3.5 lacs,3.5 lacs,3.6 lacs,3.07 lacs,2.7 lacs,2.55 lacs,2.34 lacs,2.24 lacs,2.52 lacs,2.41 lacs
Papua New Guinea,PNG,2.54 lacs,2.49 lacs,2.43 lacs,2.65 lacs,2.84 lacs,2.65 lacs,2.89 lacs,2.9 lacs,2.82 lacs,2.92 lacs,2.8 lacs,2.73 lacs,2.62 lacs,2.54 lacs,2.41 lacs,2.36 lacs,2.24 lacs,2.31 lacs,2.12 lacs,2 lacs,2.62 lacs,2.54 lacs,2.55 lacs,2.38 lacs,2.48 lacs,2.48 lacs,2.51 lacs,2.56 lacs,2.45 lacs,2.6 lacs,2.75 lacs
Poland,POL,12.98 lacs,13.65 lacs,14.39 lacs,14.83 lacs,13.7 lacs,12.68 lacs,10.96 lacs,9.94 lacs,12.29 lacs,16.31 lacs,18.37 lacs,19.89 lacs,19.37 lacs,19.07 lacs,17.75 lacs,13.84 lacs,9.6 lacs,7.12 lacs,8.17 lacs,9.64 lacs,9.63 lacs,10.09 lacs,10.33 lacs,8.99 lacs,7.5 lacs,6.16 lacs,4.89 lacs,3.85 lacs,3.28 lacs,3.16 lacs,3.37 lacs
Pre-demographic dividend,PRE,5.16 lacs,5.18 lacs,5.18 lacs,5.13 lacs,5.08 lacs,5.05 lacs,5.01 lacs,4.99 lacs,5.02 lacs,5.06 lacs,5.07 lacs,5.11 lacs,5.13 lacs,5.09 lacs,5.07 lacs,5.06 lacs,5.01 lacs,4.95 lacs,4.96 lacs,5.35 lacs,5.27 lacs,5.19 lacs,5.05 lacs,5.18 lacs,5.19 lacs,5.68 lacs,6.06 lacs,6.13 lacs,6.2 lacs,6.94 lacs,7.07 lacs
Puerto Rico,PRI,16.18 lacs,16.93 lacs,16.91 lacs,14.6 lacs,13.93 lacs,13.64 lacs,13.8 lacs,13.46 lacs,11.81 lacs,10.08 lacs,11.4 lacs,11.94 lacs,11.78 lacs,10.31 lacs,11.35 lacs,11.01 lacs,10.93 lacs,11.48 lacs,15 lacs,16.1 lacs,15.7 lacs,14.5 lacs,14.3 lacs,13.9 lacs,12 lacs,11.8 lacs,10.8 lacs,9.2 lacs,8.3 lacs,8.89 lacs,8.27 lacs
"Korea, Dem. People's Rep.",PRK,2.3 lacs,2.31 lacs,2.42 lacs,2.54 lacs,2.55 lacs,2.6 lacs,2.68 lacs,2.83 lacs,2.97 lacs,2.93 lacs,2.94 lacs,2.9 lacs,2.91 lacs,2.86 lacs,2.84 lacs,2.81 lacs,2.82 lacs,2.77 lacs,2.78 lacs,2.71 lacs,2.78 lacs,2.81 lacs,2.8 lacs,2.74 lacs,2.74 lacs,2.76 lacs,2.7 lacs,2.63 lacs,2.59 lacs,2.92 lacs,2.59 lacs
Portugal,PRT,3.92 lacs,3.98 lacs,5.3 lacs,6.71 lacs,7.06 lacs,7.3 lacs,6.57 lacs,4.65 lacs,4.58 lacs,3.81 lacs,3.83 lacs,4.5 lacs,6.13 lacs,6.32 lacs,7.58 lacs,7.65 lacs,7.96 lacs,7.55 lacs,9.43 lacs,10.77 lacs,12.68 lacs,15.53 lacs,16.18 lacs,13.89 lacs,12.44 lacs,11.07 lacs,8.87 lacs,6.99 lacs,6.46 lacs,6.79 lacs,6.65 lacs
Paraguay,PRY,5.1 lacs,4.98 lacs,5.06 lacs,4.41 lacs,3.4 lacs,8.15 lacs,5.36 lacs,4.42 lacs,5.34 lacs,7.61 lacs,6.21 lacs,9.39 lacs,6.81 lacs,6.51 lacs,4.82 lacs,5.28 lacs,4.71 lacs,4.42 lacs,5.46 lacs,4.57 lacs,4.67 lacs,4.09 lacs,4.38 lacs,5.03 lacs,4.56 lacs,5.25 lacs,4.61 lacs,6.22 lacs,6.59 lacs,7.55 lacs,7.21 lacs
West Bank and Gaza,PSE,11.6 lacs,11.31 lacs,11.29 lacs,11.15 lacs,11.1 lacs,11.03 lacs,10.83 lacs,10.72 lacs,10.64 lacs,10.63 lacs,21.49 lacs,27.46 lacs,23 lacs,23.21 lacs,20.02 lacs,19.01 lacs,18.28 lacs,22.91 lacs,20.45 lacs,21.42 lacs,17.6 lacs,19.2 lacs,19.89 lacs,20.53 lacs,23 lacs,23.94 lacs,25.68 lacs,26.26 lacs,25.34 lacs,25.89 lacs,24.9 lacs
Pacific island small states,PSS,2.75 lacs,2.66 lacs,2.75 lacs,2.74 lacs,2.8 lacs,2.87 lacs,2.99 lacs,2.99 lacs,2.96 lacs,3.18 lacs,3.15 lacs,3.13 lacs,3.09 lacs,2.99 lacs,2.97 lacs,2.95 lacs,3.06 lacs,3.1 lacs,3.25 lacs,3.11 lacs,3.05 lacs,3.15 lacs,2.95 lacs,2.91 lacs,2.88 lacs,2.83 lacs,2.82 lacs,2.85 lacs,2.88 lacs,3.13 lacs,3.42 lacs
Post-demographic dividend,PST,6.3 lacs,6.92 lacs,7.5 lacs,7.51 lacs,7.39 lacs,7.56 lacs,7.36 lacs,7.38 lacs,7.11 lacs,6.53 lacs,6.37 lacs,6.75 lacs,6.84 lacs,6.65 lacs,6.35 lacs,5.93 lacs,5.52 lacs,5.86 lacs,8.01 lacs,8.29 lacs,8 lacs,8.06 lacs,7.96 lacs,7.44 lacs,6.87 lacs,6.4 lacs,5.84 lacs,5.29 lacs,4.95 lacs,6.7 lacs,5.81 lacs
French Polynesia,PYF,11.97 lacs,12.2 lacs,12.22 lacs,12.13 lacs,12.1 lacs,12.07 lacs,11.93 lacs,11.61 lacs,11.71 lacs,11.67 lacs,11.8 lacs,11.71 lacs,11.62 lacs,11.7 lacs,11.76 lacs,11.79 lacs,11.74 lacs,11.91 lacs,12.26 lacs,12.2 lacs,12.29 lacs,12.21 lacs,12.17 lacs,12.2 lacs,12.17 lacs,12.18 lacs,12.21 lacs,12.25 lacs,12.3 lacs,14.1 lacs,14.39 lacs
Qatar,QAT,0.81 lacs,0.81 lacs,0.81 lacs,0.82 lacs,0.82 lacs,0.83 lacs,0.83 lacs,0.83 lacs,0.84 lacs,0.84 lacs,0.85 lacs,0.85 lacs,0.86 lacs,0.86 lacs,0.87 lacs,0.87 lacs,0.52 lacs,0.31 lacs,0.31 lacs,0.45 lacs,0.56 lacs,0.48 lacs,0.28 lacs,0.2 lacs,0.17 lacs,0.15 lacs,0.14 lacs,0.11 lacs,0.1 lacs,0.21 lacs,0.26 lacs
Romania,ROU,8.07 lacs,8.26 lacs,8.36 lacs,8.17 lacs,8.01 lacs,6.74 lacs,5.51 lacs,5.63 lacs,6.24 lacs,6.97 lacs,6.56 lacs,8.11 lacs,6.95 lacs,7.72 lacs,7.17 lacs,7.27 lacs,6.41 lacs,5.79 lacs,6.86 lacs,6.96 lacs,7.18 lacs,6.79 lacs,7.1 lacs,6.8 lacs,6.81 lacs,5.9 lacs,4.93 lacs,4.19 lacs,3.91 lacs,5.03 lacs,5.17 lacs
Russian Federation,RUS,5.41 lacs,5.18 lacs,5.88 lacs,8.13 lacs,9.45 lacs,9.67 lacs,11.81 lacs,13.26 lacs,13.04 lacs,10.58 lacs,8.98 lacs,7.88 lacs,8.21 lacs,7.76 lacs,7.12 lacs,7.06 lacs,6 lacs,6.21 lacs,8.3 lacs,7.37 lacs,6.54 lacs,5.44 lacs,5.46 lacs,5.16 lacs,5.57 lacs,5.56 lacs,5.21 lacs,4.85 lacs,4.5 lacs,5.59 lacs,5.01 lacs
Rwanda,RWA,0.3 lacs,0.34 lacs,0.41 lacs,0.47 lacs,0.5 lacs,0.56 lacs,0.61 lacs,0.68 lacs,0.74 lacs,0.79 lacs,0.84 lacs,0.89 lacs,0.94 lacs,0.95 lacs,0.96 lacs,0.99 lacs,1.01 lacs,1.02 lacs,1.06 lacs,1.08 lacs,1.1 lacs,1.12 lacs,1.15 lacs,1.17 lacs,1.15 lacs,1.14 lacs,1.14 lacs,1.11 lacs,1.1 lacs,1.49 lacs,1.61 lacs
South Asia,SAS,5.02 lacs,5.12 lacs,5.08 lacs,5.12 lacs,5.13 lacs,5.09 lacs,4.98 lacs,5.02 lacs,5.07 lacs,4.93 lacs,4.97 lacs,4.98 lacs,5.1 lacs,5.08 lacs,5.06 lacs,4.96 lacs,4.96 lacs,4.85 lacs,5.01 lacs,4.84 lacs,4.79 lacs,4.91 lacs,5.07 lacs,4.97 lacs,5.14 lacs,5.15 lacs,5.12 lacs,5.12 lacs,5.02 lacs,7.24 lacs,5.79 lacs
Saudi Arabia,SAU,7.07 lacs,7.2 lacs,6.85 lacs,6.41 lacs,6 lacs,5.56 lacs,5.15 lacs,4.72 lacs,4.35 lacs,4.57 lacs,4.62 lacs,5.27 lacs,5.56 lacs,5.82 lacs,6.05 lacs,6.25 lacs,5.73 lacs,5.08 lacs,5.38 lacs,5.55 lacs,5.77 lacs,5.52 lacs,5.57 lacs,5.72 lacs,5.59 lacs,5.65 lacs,5.89 lacs,6.04 lacs,5.67 lacs,7.45 lacs,7.36 lacs
Sudan,SDN,15.55 lacs,15.56 lacs,15.56 lacs,15.56 lacs,15.46 lacs,15.42 lacs,15.33 lacs,15.35 lacs,15.31 lacs,15.23 lacs,15.18 lacs,15.13 lacs,15.07 lacs,15.05 lacs,14.97 lacs,14.89 lacs,14.82 lacs,14.8 lacs,13 lacs,15.2 lacs,17.44 lacs,17.45 lacs,17.41 lacs,17.43 lacs,17.49 lacs,17.52 lacs,17.53 lacs,17.58 lacs,17.65 lacs,19.65 lacs,19.81 lacs
Senegal,SEN,5.57 lacs,5.59 lacs,5.59 lacs,5.61 lacs,5.57 lacs,5.6 lacs,5.6 lacs,5.58 lacs,5.58 lacs,5.61 lacs,5.61 lacs,5.65 lacs,6.69 lacs,7.79 lacs,8.9 lacs,10.03 lacs,10.08 lacs,10.13 lacs,10.21 lacs,10.26 lacs,10.36 lacs,9.44 lacs,8.58 lacs,7.65 lacs,6.76 lacs,4.46 lacs,3.69 lacs,3.28 lacs,2.86 lacs,3.62 lacs,3.72 lacs
Singapore,SGP,2.18 lacs,3.09 lacs,3.07 lacs,3.03 lacs,3.3 lacs,3.57 lacs,2.5 lacs,3.41 lacs,4.85 lacs,3.7 lacs,3.76 lacs,5.65 lacs,5.93 lacs,5.84 lacs,5.59 lacs,4.48 lacs,3.9 lacs,3.96 lacs,5.86 lacs,4.12 lacs,3.89 lacs,3.72 lacs,3.86 lacs,3.74 lacs,3.79 lacs,4.08 lacs,4.2 lacs,3.64 lacs,3.1 lacs,4.1 lacs,3.62 lacs
Solomon Islands,SLB,1.32 lacs,1.25 lacs,1.4 lacs,1.36 lacs,1.36 lacs,1.53 lacs,1.61 lacs,1.59 lacs,1.66 lacs,2.03 lacs,1.91 lacs,1.83 lacs,1.66 lacs,1.7 lacs,1.76 lacs,1.82 lacs,1.88 lacs,1.89 lacs,2.02 lacs,1.58 lacs,1.3 lacs,1.05 lacs,0.69 lacs,0.73 lacs,0.73 lacs,0.7 lacs,0.71 lacs,0.72 lacs,0.75 lacs,0.92 lacs,1.03 lacs
Sierra Leone,SLE,3.46 lacs,3.51 lacs,3.46 lacs,3.47 lacs,3.48 lacs,3.45 lacs,3.47 lacs,3.45 lacs,3.45 lacs,3.43 lacs,3.46 lacs,3.39 lacs,3.42 lacs,3.42 lacs,3.55 lacs,3.67 lacs,3.79 lacs,3.92 lacs,4.05 lacs,4.17 lacs,4.29 lacs,4.4 lacs,4.51 lacs,4.68 lacs,4.74 lacs,4.66 lacs,4.66 lacs,4.66 lacs,4.65 lacs,5.2 lacs,5.33 lacs
El Salvador,SLV,7.53 lacs,7.88 lacs,9.94 lacs,7.68 lacs,7.65 lacs,7.68 lacs,7.98 lacs,7.1 lacs,6.68 lacs,6.96 lacs,6.96 lacs,5.73 lacs,6.26 lacs,6.05 lacs,7.22 lacs,6.57 lacs,6.41 lacs,5.88 lacs,7.33 lacs,4.89 lacs,4.3 lacs,3.84 lacs,3.69 lacs,4.15 lacs,4 lacs,4.42 lacs,4.39 lacs,4.01 lacs,4.17 lacs,6.25 lacs,5.94 lacs
Somalia,SOM,19.19 lacs,19.27 lacs,19.16 lacs,19.33 lacs,19.14 lacs,19.1 lacs,19.14 lacs,19.08 lacs,19.06 lacs,19.05 lacs,19.04 lacs,19.02 lacs,19.02 lacs,19.02 lacs,19.01 lacs,19.01 lacs,18.9 lacs,18.92 lacs,18.94 lacs,18.96 lacs,18.98 lacs,18.97 lacs,18.95 lacs,18.93 lacs,18.9 lacs,18.89 lacs,18.88 lacs,18.85 lacs,18.83 lacs,19.72 lacs,19.86 lacs
Serbia,SRB,13.33 lacs,12.94 lacs,12.82 lacs,13.4 lacs,13.4 lacs,13.2 lacs,13.8 lacs,13.7 lacs,13.7 lacs,12.6 lacs,12.8 lacs,13.8 lacs,15.2 lacs,18.5 lacs,20.85 lacs,20.85 lacs,18.06 lacs,13.7 lacs,16.14 lacs,19.22 lacs,22.97 lacs,24 lacs,22.15 lacs,19.22 lacs,17.66 lacs,15.26 lacs,13.48 lacs,12.73 lacs,10.39 lacs,9.01 lacs,11.81 lacs
Sub-Saharan Africa (excluding high income),SSA,6.51 lacs,6.58 lacs,6.6 lacs,6.59 lacs,6.58 lacs,6.6 lacs,6.63 lacs,6.62 lacs,6.69 lacs,6.67 lacs,6.65 lacs,6.77 lacs,6.65 lacs,6.35 lacs,6.22 lacs,6.12 lacs,5.95 lacs,5.65 lacs,5.67 lacs,6 lacs,5.93 lacs,5.85 lacs,5.71 lacs,5.79 lacs,5.82 lacs,6.24 lacs,6.47 lacs,6.48 lacs,6.61 lacs,7.28 lacs,7.66 lacs
South Sudan,SSD,11.91 lacs,11.95 lacs,11.98 lacs,12.02 lacs,12 lacs,12.01 lacs,12 lacs,12.05 lacs,12.06 lacs,12.06 lacs,12.07 lacs,12.08 lacs,12.09 lacs,12.12 lacs,12.11 lacs,12.11 lacs,12.11 lacs,12.15 lacs,12.18 lacs,12.18 lacs,12.2 lacs,12.2 lacs,12.13 lacs,12.19 lacs,12.27 lacs,12.3 lacs,12.25 lacs,12.24 lacs,12.23 lacs,14.03 lacs,13.91 lacs
Sub-Saharan Africa,SSF,6.51 lacs,6.58 lacs,6.6 lacs,6.59 lacs,6.58 lacs,6.6 lacs,6.63 lacs,6.62 lacs,6.69 lacs,6.67 lacs,6.65 lacs,6.77 lacs,6.65 lacs,6.35 lacs,6.22 lacs,6.12 lacs,5.95 lacs,5.65 lacs,5.67 lacs,6 lacs,5.93 lacs,5.85 lacs,5.71 lacs,5.79 lacs,5.82 lacs,6.24 lacs,6.47 lacs,6.48 lacs,6.61 lacs,7.28 lacs,7.66 lacs
Small states,SST,12.27 lacs,12.77 lacs,13.3 lacs,13.36 lacs,13.57 lacs,13.66 lacs,13.78 lacs,13.42 lacs,13.3 lacs,12.97 lacs,12.85 lacs,12.64 lacs,12.57 lacs,12.2 lacs,11.76 lacs,10.96 lacs,10.39 lacs,10.13 lacs,10.73 lacs,10.86 lacs,10.5 lacs,10.39 lacs,10.6 lacs,10.29 lacs,10.2 lacs,10.21 lacs,9.8 lacs,9.34 lacs,9.11 lacs,10.39 lacs,10.37 lacs
Sao Tome and Principe,STP,14.38 lacs,14.39 lacs,14.39 lacs,14.37 lacs,14.38 lacs,14.39 lacs,14.39 lacs,14.37 lacs,14.37 lacs,14.4 lacs,15.73 lacs,17.63 lacs,16.36 lacs,16.12 lacs,16.47 lacs,16.65 lacs,16.23 lacs,15.63 lacs,15.2 lacs,14.6 lacs,14.11 lacs,13.59 lacs,13.65 lacs,13.7 lacs,13.82 lacs,13.89 lacs,13.97 lacs,14.06 lacs,14.14 lacs,15.75 lacs,15.91 lacs
Suriname,SUR,17.07 lacs,17.28 lacs,15.64 lacs,12.7 lacs,8.39 lacs,10.88 lacs,10.56 lacs,10.63 lacs,13.6 lacs,12.74 lacs,11.91 lacs,11.15 lacs,10.31 lacs,9.49 lacs,9.38 lacs,9.19 lacs,9.03 lacs,8.88 lacs,8.72 lacs,7.15 lacs,7.54 lacs,8.1 lacs,6.6 lacs,6.94 lacs,7.22 lacs,7.92 lacs,7.9 lacs,7.93 lacs,8.04 lacs,9.78 lacs,10.06 lacs
Slovak Republic,SVK,11.58 lacs,11.87 lacs,12.2 lacs,13.65 lacs,13.11 lacs,11.34 lacs,11.89 lacs,12.19 lacs,15.95 lacs,19.06 lacs,19.38 lacs,18.72 lacs,17.12 lacs,18.6 lacs,16.26 lacs,13.37 lacs,11.14 lacs,9.51 lacs,12.03 lacs,14.38 lacs,13.62 lacs,13.96 lacs,14.22 lacs,13.18 lacs,11.48 lacs,9.67 lacs,8.13 lacs,6.54 lacs,5.75 lacs,6.69 lacs,6.74 lacs
Slovenia,SVN,7.08 lacs,7.68 lacs,8.51 lacs,8.24 lacs,7.15 lacs,6.91 lacs,6.65 lacs,7.39 lacs,7.32 lacs,6.92 lacs,5.68 lacs,5.92 lacs,6.48 lacs,6.01 lacs,6.51 lacs,5.95 lacs,4.82 lacs,4.37 lacs,5.86 lacs,7.24 lacs,8.17 lacs,8.84 lacs,10.1 lacs,9.67 lacs,8.96 lacs,8 lacs,6.56 lacs,5.11 lacs,4.45 lacs,4.97 lacs,4.42 lacs
Sweden,SWE,3.24 lacs,5.72 lacs,9.33 lacs,9.58 lacs,8.9 lacs,9.55 lacs,10.36 lacs,8.94 lacs,7.61 lacs,5.47 lacs,4.73 lacs,4.97 lacs,5.55 lacs,6.69 lacs,7.49 lacs,7.07 lacs,6.16 lacs,6.23 lacs,8.35 lacs,8.61 lacs,7.8 lacs,7.98 lacs,8.05 lacs,7.95 lacs,7.43 lacs,6.99 lacs,6.72 lacs,6.36 lacs,6.83 lacs,8.29 lacs,8.66 lacs
Eswatini,SWZ,21.81 lacs,21.76 lacs,21.73 lacs,21.71 lacs,21.65 lacs,22.08 lacs,22.5 lacs,23.08 lacs,23.65 lacs,24.24 lacs,24.83 lacs,25.36 lacs,25.94 lacs,26.52 lacs,27.07 lacs,27.64 lacs,28.24 lacs,27.68 lacs,27.05 lacs,26.41 lacs,25.81 lacs,25.15 lacs,24.55 lacs,23.97 lacs,23.33 lacs,22.72 lacs,22.75 lacs,22.79 lacs,22.84 lacs,25.51 lacs,25.76 lacs
Syrian Arab Republic,SYR,6.75 lacs,7.03 lacs,7.4 lacs,7.5 lacs,7.2 lacs,7.29 lacs,7.39 lacs,7.45 lacs,7.6 lacs,9.6 lacs,11.63 lacs,10.93 lacs,10.28 lacs,9.54 lacs,8.85 lacs,8.17 lacs,8.42 lacs,10.94 lacs,8.14 lacs,8.61 lacs,8.7 lacs,8.81 lacs,8.83 lacs,8.72 lacs,8.71 lacs,8.73 lacs,8.75 lacs,8.76 lacs,8.77 lacs,10.26 lacs,10.57 lacs
Chad,TCD,0.68 lacs,0.68 lacs,0.7 lacs,0.69 lacs,0.72 lacs,0.73 lacs,0.75 lacs,0.76 lacs,0.79 lacs,0.81 lacs,0.81 lacs,0.83 lacs,0.84 lacs,0.84 lacs,0.87 lacs,0.91 lacs,0.93 lacs,0.94 lacs,0.96 lacs,0.96 lacs,1 lacs,1.01 lacs,1.03 lacs,1.05 lacs,1.07 lacs,1.1 lacs,1.12 lacs,1.13 lacs,1.12 lacs,1.74 lacs,1.88 lacs
East Asia & Pacific (IDA & IBRD countries),TEA,2.4 lacs,2.36 lacs,2.62 lacs,2.92 lacs,3 lacs,3.11 lacs,3.21 lacs,3.37 lacs,3.46 lacs,3.41 lacs,3.85 lacs,4.17 lacs,4.42 lacs,4.41 lacs,4.49 lacs,4.38 lacs,4.36 lacs,4.45 lacs,4.41 lacs,4.17 lacs,4.12 lacs,4.05 lacs,4.06 lacs,4.05 lacs,4.12 lacs,4.04 lacs,3.93 lacs,3.81 lacs,3.91 lacs,4.41 lacs,4.32 lacs
Europe & Central Asia (IDA & IBRD countries),TEC,5.97 lacs,6.37 lacs,7.09 lacs,8.47 lacs,9.47 lacs,10.09 lacs,10.73 lacs,11.61 lacs,12.01 lacs,11.25 lacs,10.84 lacs,10.67 lacs,10.38 lacs,10.11 lacs,9.42 lacs,8.62 lacs,7.52 lacs,7.29 lacs,8.94 lacs,8.56 lacs,8.02 lacs,7.53 lacs,7.59 lacs,7.66 lacs,7.63 lacs,7.45 lacs,7.09 lacs,6.69 lacs,6.78 lacs,7.4 lacs,7.27 lacs
Togo,TGO,3.66 lacs,3.71 lacs,3.79 lacs,3.7 lacs,3.76 lacs,3.79 lacs,3.81 lacs,3.91 lacs,3.93 lacs,3.98 lacs,4.02 lacs,4.05 lacs,4.08 lacs,4.16 lacs,4.22 lacs,4.23 lacs,3.8 lacs,3.34 lacs,2.88 lacs,2.43 lacs,1.98 lacs,2.03 lacs,2.09 lacs,2.14 lacs,2.2 lacs,2.97 lacs,3.74 lacs,3.73 lacs,3.72 lacs,3.94 lacs,4 lacs
Thailand,THA,2.63 lacs,1.35 lacs,1.49 lacs,1.35 lacs,1.1 lacs,1.07 lacs,0.87 lacs,3.4 lacs,2.97 lacs,2.39 lacs,2.6 lacs,1.82 lacs,1.54 lacs,1.51 lacs,1.35 lacs,1.22 lacs,1.18 lacs,1.18 lacs,0.95 lacs,0.62 lacs,0.66 lacs,0.58 lacs,0.25 lacs,0.58 lacs,0.6 lacs,0.69 lacs,0.83 lacs,0.77 lacs,0.72 lacs,1.1 lacs,1.42 lacs
Tajikistan,TJK,1.9 lacs,2.1 lacs,6.2 lacs,8.8 lacs,10.3 lacs,13.4 lacs,13.9 lacs,16.5 lacs,15.4 lacs,15.13 lacs,14.77 lacs,14.41 lacs,14.02 lacs,13.61 lacs,13.13 lacs,12.74 lacs,12.37 lacs,11.98 lacs,11.5 lacs,10.89 lacs,10.24 lacs,9.58 lacs,8.91 lacs,8.23 lacs,7.55 lacs,6.9 lacs,6.95 lacs,7.01 lacs,7.06 lacs,7.58 lacs,7.75 lacs
Turkmenistan,TKM,1.4 lacs,1.5 lacs,1.5 lacs,4.7 lacs,8.3 lacs,10.3 lacs,11 lacs,12.2 lacs,12.7 lacs,11.54 lacs,10.68 lacs,9.75 lacs,8.99 lacs,8.19 lacs,7.5 lacs,6.61 lacs,5.76 lacs,4.95 lacs,4 lacs,4 lacs,4.09 lacs,4.09 lacs,4.11 lacs,4.14 lacs,4.14 lacs,4.17 lacs,4.2 lacs,4.23 lacs,4.27 lacs,4.95 lacs,5.08 lacs
Latin America & the Caribbean (IDA & IBRD countries),TLA,5.99 lacs,5.93 lacs,5.94 lacs,6.44 lacs,7.65 lacs,8.03 lacs,7.86 lacs,8.26 lacs,9.18 lacs,9.08 lacs,8.79 lacs,9.04 lacs,8.93 lacs,8.42 lacs,7.96 lacs,7.33 lacs,6.88 lacs,6.52 lacs,7.51 lacs,6.83 lacs,6.5 lacs,6.42 lacs,6.37 lacs,6.18 lacs,6.68 lacs,7.8 lacs,8.09 lacs,7.98 lacs,8.04 lacs,10.2 lacs,10.09 lacs
Timor-Leste,TLS,3.54 lacs,3.53 lacs,3.52 lacs,3.54 lacs,3.53 lacs,3.51 lacs,3.56 lacs,3.61 lacs,3.93 lacs,3.41 lacs,3.37 lacs,3.57 lacs,3.52 lacs,3.48 lacs,3.44 lacs,3.49 lacs,3.34 lacs,3.32 lacs,3.31 lacs,3.3 lacs,3.55 lacs,3.76 lacs,4.02 lacs,4.21 lacs,4.45 lacs,4.66 lacs,4.76 lacs,4.73 lacs,4.51 lacs,4.91 lacs,5.07 lacs
Middle East & North Africa (IDA & IBRD countries),TMN,11.86 lacs,12.14 lacs,12.84 lacs,12.89 lacs,13.34 lacs,12.31 lacs,12.05 lacs,12.24 lacs,12.57 lacs,13.2 lacs,13.18 lacs,13.23 lacs,12.87 lacs,11.51 lacs,11.79 lacs,11 lacs,10.52 lacs,10.27 lacs,10.43 lacs,10.68 lacs,11.46 lacs,11.68 lacs,11.4 lacs,11.58 lacs,11.82 lacs,11.93 lacs,11.93 lacs,11.46 lacs,10.6 lacs,12.09 lacs,12.05 lacs
