Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cabo Verde,CPV,11.27 lacs,11.21 lacs,11.19 lacs,11.12 lacs,11.12 lacs,11.11 lacs,11.08 lacs,11.05 lacs,11.03 lacs,10.98 lacs,11.01 lacs,10.96 lacs,10.93 lacs,10.87 lacs,10.85 lacs,10.8 lacs,10.73 lacs,10.73 lacs,10.73 lacs,10.67 lacs,10.88 lacs,11.12 lacs,11.35 lacs,11.57 lacs,11.8 lacs,12.01 lacs,12.24 lacs,12.17 lacs,12.22 lacs,15.31 lacs,15.42 lacs
Costa Rica,CRI,5.37 lacs,3.93 lacs,3.95 lacs,4.05 lacs,5.18 lacs,6.16 lacs,5.68 lacs,5.33 lacs,5.9 lacs,5.08 lacs,5.92 lacs,6.33 lacs,6.56 lacs,6.39 lacs,6.57 lacs,5.74 lacs,4.49 lacs,4.78 lacs,7.71 lacs,7.17 lacs,10.14 lacs,9.78 lacs,8.77 lacs,9.06 lacs,9 lacs,8.6 lacs,8.14 lacs,9.63 lacs,11.49 lacs,17.41 lacs,17.95 lacs
Caribbean small states,CSS,16.05 lacs,16.45 lacs,16.62 lacs,15.78 lacs,15.36 lacs,15.01 lacs,14.85 lacs,14.14 lacs,13.93 lacs,13.38 lacs,12.79 lacs,12.54 lacs,11.63 lacs,11.14 lacs,10.54 lacs,9.4 lacs,8.88 lacs,9.07 lacs,10.11 lacs,10.31 lacs,10.49 lacs,11.12 lacs,11.66 lacs,10.85 lacs,10.55 lacs,10.61 lacs,9.76 lacs,8.71 lacs,8.02 lacs,9.83 lacs,9.76 lacs
Cuba,CUB,7.9 lacs,8.06 lacs,8.28 lacs,8.14 lacs,8.27 lacs,7.61 lacs,7.1 lacs,6.23 lacs,6.26 lacs,5.45 lacs,4.08 lacs,3.31 lacs,2.33 lacs,1.85 lacs,1.95 lacs,1.91 lacs,1.79 lacs,1.58 lacs,1.67 lacs,2.5 lacs,3.18 lacs,3.46 lacs,3.29 lacs,2.7 lacs,2.4 lacs,2 lacs,1.7 lacs,1.7 lacs,1.74 lacs,2.62 lacs,2.76 lacs
Cyprus,CYP,3 lacs,2.09 lacs,2.7 lacs,2.7 lacs,2.6 lacs,3.1 lacs,3.4 lacs,3.3 lacs,5.7 lacs,4.97 lacs,3.98 lacs,3.3 lacs,4.14 lacs,4.33 lacs,5.3 lacs,4.54 lacs,3.92 lacs,3.65 lacs,5.36 lacs,6.26 lacs,7.86 lacs,11.8 lacs,15.87 lacs,16.09 lacs,14.91 lacs,12.95 lacs,11.05 lacs,8.37 lacs,7.07 lacs,7.59 lacs,6.13 lacs
Czech Republic,CZE,2.27 lacs,2.6 lacs,4.32 lacs,4.3 lacs,4.02 lacs,3.89 lacs,4.27 lacs,5.9 lacs,8.49 lacs,8.76 lacs,7.99 lacs,7.02 lacs,7.54 lacs,8.21 lacs,7.93 lacs,7.15 lacs,5.32 lacs,4.39 lacs,6.66 lacs,7.28 lacs,6.71 lacs,6.98 lacs,6.95 lacs,6.11 lacs,5.05 lacs,3.95 lacs,2.89 lacs,2.24 lacs,2.01 lacs,2.55 lacs,2.89 lacs
Germany,DEU,5.32 lacs,6.32 lacs,7.68 lacs,8.73 lacs,8.16 lacs,8.82 lacs,9.86 lacs,9.79 lacs,8.86 lacs,7.92 lacs,7.77 lacs,8.48 lacs,9.78 lacs,10.73 lacs,11.17 lacs,10.25 lacs,8.66 lacs,7.52 lacs,7.74 lacs,6.97 lacs,5.82 lacs,5.38 lacs,5.23 lacs,4.98 lacs,4.62 lacs,4.12 lacs,3.75 lacs,3.38 lacs,3.14 lacs,3.81 lacs,3.54 lacs
Djibouti,DJI,29.36 lacs,29.2 lacs,29.19 lacs,29.02 lacs,28.94 lacs,28.84 lacs,28.7 lacs,28.58 lacs,28.43 lacs,28.34 lacs,28.22 lacs,28.08 lacs,27.96 lacs,27.85 lacs,27.72 lacs,27.57 lacs,27.44 lacs,27.31 lacs,27.22 lacs,27.06 lacs,26.89 lacs,26.78 lacs,26.64 lacs,26.48 lacs,26.33 lacs,26.19 lacs,26.06 lacs,26.19 lacs,26.36 lacs,28.39 lacs,28.39 lacs
Denmark,DNK,9.1 lacs,9.03 lacs,10.72 lacs,8.04 lacs,6.99 lacs,6.84 lacs,5.4 lacs,5.04 lacs,5.14 lacs,4.48 lacs,4.16 lacs,4.27 lacs,5.4 lacs,5.2 lacs,4.83 lacs,3.9 lacs,3.8 lacs,3.68 lacs,6.41 lacs,7.75 lacs,7.77 lacs,7.8 lacs,7.38 lacs,6.93 lacs,6.28 lacs,5.99 lacs,5.83 lacs,5.13 lacs,5.02 lacs,5.64 lacs,4.8 lacs
Dominican Republic,DOM,6.35 lacs,6.2 lacs,6.27 lacs,6.36 lacs,6.33 lacs,6.34 lacs,6.31 lacs,6.36 lacs,6.39 lacs,6.43 lacs,7.26 lacs,6.78 lacs,6.94 lacs,6.3 lacs,6.59 lacs,5.65 lacs,5.16 lacs,4.76 lacs,5.47 lacs,5.21 lacs,6.09 lacs,6.72 lacs,7.35 lacs,6.72 lacs,7.61 lacs,7.28 lacs,5.83 lacs,5.86 lacs,6.36 lacs,6.13 lacs,8.5 lacs
